id,name_th,name_en,zone_th,zone_en,status
GRP05-2,เกลือ เครื่องปรุ่งคู่ครัวเรือน,Salt – An Essential Cooking Ingredient,ห้วงวิถีชีวิต,The way of life,read
GRP05-3,ข้าวหอมมะลิขึ้นชื่อของจังหวัดยโสธร,The Famous Fragrant Jasmine Rice of Yasothon,ห้วงวิถีชีวิต,The way of life,read
GRP05-4,ปลาแดกสุดนัว คู่ครัวรสแซ่บ,Pla Daek – A Delectable Seasoning Ingredient ,ห้วงวิถีชีวิต,The way of life,read
GRP05-5,ปลาส้มต้นตำรับ ของฝากจากเมืองยโสธร,Pla Som – A Typical Food Souvenir of Yasothon,ห้วงวิถีชีวิต,The way of life,read
GRP05-6,ปลาสด ๆ จากแม่น้ำชี แหล่งอาหารชั้นดีของชุมชน,Fresh fishes from the Chi River – Excellent Food Source of the Community,ห้วงวิถีชีวิต,The way of life,read
GRP05-20,ลาน – เครื่องมือหาปลาพื้นบ้านของภาคอีสาน,Lan – A traditional Isan fishing tool,ห้วงวิถีชีวิต,The way of life,read
GRP05-21,สุ่ม – เครื่องมือหาปลาพื้นบ้านของภาคอีสาน,Soom – A traditional Isan fishing tool,ห้วงวิถีชีวิต,The way of life,read
GRP05-22,ไซ – เครื่องมือหาปลาพื้นบ้านของภาคอีสาน,Sai  – A traditional Isan fishing tool,ห้วงวิถีชีวิต,The way of life,read
GRP05-23,ข้อง – เครื่องมือหาปลาพื้นบ้านของภาคอีสาน,Khong – A traditional Isan fishing tool,ห้วงวิถีชีวิต,The way of life,read
GRP05-24,กะต่า (ตะกร้า) – เครื่องมือเครื่องใช้จำเป็นในครัวเรือนภาคอีสาน,Kata (Basket),ห้วงวิถีชีวิต,The way of life,read
GRP05-12,ศาลเจ้าพ่อหลักเมืองยโสธร – ทำไมศาลหลักเมืองยโสธรจึงมี 3 เสา ?,Yasothon City Pillar Shrine – Why are there only three pillars in Yasothon City Pillar Shine?,ความเชื่อพื้นถิ่น,Local beliefs ,read
GRP05-13,หอมเหศักดิ์บ้านสิงห์ท่า – ญาพ่อเฒ่า ที่ชาวเมืองสิงห์ท่าสักการะบูชา,"Mahesak Shrine, Baan Singha Tha – Ya Poh Thao (City Rulers) Holy Place",ความเชื่อพื้นถิ่น,Local beliefs ,read
GRP05-14,ศาลเจ้าปู่ยโสธร – ศาลผีผู้ปกปักรักษาพื้นที่ดั้งเดิม,Saan Chao Pu Yasothon –  The Guardian’s Spirit House ,ความเชื่อพื้นถิ่น,Local beliefs ,read
GRP05-15,ศาลเจ้าพ่อหอชุม – ศาลที่สิงสถิตผีจากเมืองลาว,Saan Chao Poh Hor Chum – Lao Spirits House ,ความเชื่อพื้นถิ่น,Local beliefs ,read
GRP05-16,หอเจ้าแม่สองนาง – ศาลผี ริมน้ำปกปักรักษาริมน้ำชี,Hor Chao Mae Song Nang – Spirit House of Two Chi River Goddesses,ความเชื่อพื้นถิ่น,Local beliefs ,read
GRP05-17,บุญบั้งไฟและพญาแถน,Bun Bang Fai Rocket Festival and Phaya Thaen,ความเชื่อพื้นถิ่น,Local beliefs ,read
GRP05-18,สิงห์หิน สิงห์คู่บ้านคู่เมืองยโสธร,Stone Guardian Lions of Yasothon City ,ความเชื่อพื้นถิ่น,Local beliefs ,read
GRP05-25,เรือกระแซง – พาหนะขนส่งสินค้าลุ่มแม่น้ำชี,Krasang – A Water Transport in the Chi River Basin,สายน้ำแห่งโอกาส,River of Opportunity,read
